year,case_status,count
2010,imprisoned,1
2010,killed,80
2011,imprisoned,1
2011,killed,86
2012,killed,106
2013,imprisoned,3
2013,killed,102
2014,imprisoned,9
2014,killed,93
2015,imprisoned,1
2015,killed,100
2016,imprisoned,5
2016,killed,80
2017,imprisoned,9
2017,killed,76
2018,imprisoned,18
2018,killed,89
2019,imprisoned,12
2019,killed,52
2020,imprisoned,14
2020,killed,51
2021,imprisoned,29
2021,killed,45
2022,imprisoned,28
2022,killed,69
2023,imprisoned,38
2023,killed,102
2024,imprisoned,77
2024,killed,126
