country,killed_count
Afghanistan,57
Albania,1
Angola,2
Argentina,1
Azerbaijan,4
Bahrain,3
Bangladesh,22
Barbados,1
Belarus,1
Bolivia,1
Brazil,39
Bulgaria,2
Burkina Faso,2
Burundi,1
Cambodia,4
Cameroon,4
Central African Republic,5
Chad,3
Chile,1
China,2
Colombia,24
Democratic Republic of the Congo,8
Denmark,1
Dominican Republic,3
Ecuador,2
Egypt,11
El Salvador,2
Ethiopia,3
France,9
Georgia,1
Ghana,2
Greece,2
Guatemala,10
Guinea,4
Haiti,14
Honduras,34
India,48
Indonesia,7
Iran,2
Iraq,72
Israel and the Occupied Palestinian Territory,169
Ivory Coast,2
Kazakhstan,1
Kenya,3
Lebanon,9
Lesotho,1
Liberia,1
Libya,14
Maldives,2
Mali,2
Malta,1
Mexico,112
Mozambique,3
Myanmar,10
Nepal,4
Netherlands,1
Nicaragua,1
Nigeria,13
Pakistan,69
Panama,1
Paraguay,8
Peru,7
Philippines,60
Poland,1
Russia,8
Rwanda,2
Saudi Arabia,1
Sierra Leone,2
Slovakia,1
Somalia,53
South Africa,2
South Sudan,10
Sudan,7
Syria,161
Tanzania,2
Thailand,4
Tunisia,1
Turkey,10
UK,1
USA,11
Uganda,3
Ukraine,28
Venezuela,2
Vietnam,1
Yemen,36
Zambia,1
